"","block","image","condition","direction","subject","response","correct","switch","switchType","rt","participant_number_fl","participant_number","child_adult_group","age_group","test_date","age_months","age_years_months","gender","list","computer_fl","comments_nw","comments_fl","exclude"
"18","test","in_left.jpg","incongruent","left",3042331,"right",0,0,"ii",3.447,3042331,3042301,"child","4-year-olds","2023-04-03",48,"4 years, 0 months","m",1,"adc3","ok","ok","no"
"19","test","con_left.jpg","congruent","left",3042331,NA,0,1,"ic",-1,3042331,3042301,"child","4-year-olds","2023-04-03",48,"4 years, 0 months","m",1,"adc3","ok","ok","no"
"20","test","con_left.jpg","congruent","left",3042331,"left",1,0,"cc",4.247,3042331,3042301,"child","4-year-olds","2023-04-03",48,"4 years, 0 months","m",1,"adc3","ok","ok","no"
"21","test","in_right.jpg","incongruent","right",3042331,NA,0,1,"ci",-1,3042331,3042301,"child","4-year-olds","2023-04-03",48,"4 years, 0 months","m",1,"adc3","ok","ok","no"
"22","test","in_right.jpg","incongruent","right",3042331,NA,0,0,"ii",-1,3042331,3042301,"child","4-year-olds","2023-04-03",48,"4 years, 0 months","m",1,"adc3","ok","ok","no"
"23","test","nogo_left.jpg","nogo","left",3042331,NA,1,1,"ix",-1,3042331,3042301,"child","4-year-olds","2023-04-03",48,"4 years, 0 months","m",1,"adc3","ok","ok","no"
"24","test","nogo_left.jpg","nogo","left",3042331,NA,1,0,"xx",-1,3042331,3042301,"child","4-year-olds","2023-04-03",48,"4 years, 0 months","m",1,"adc3","ok","ok","no"
"25","test","con_left.jpg","congruent","left",3042331,"left",1,1,"xc",2.228,3042331,3042301,"child","4-year-olds","2023-04-03",48,"4 years, 0 months","m",1,"adc3","ok","ok","no"
"26","test","in_right.jpg","incongruent","right",3042331,"right",1,1,"ci",3.314,3042331,3042301,"child","4-year-olds","2023-04-03",48,"4 years, 0 months","m",1,"adc3","ok","ok","no"
"27","test","in_right.jpg","incongruent","right",3042331,"left",0,0,"ii",2.645,3042331,3042301,"child","4-year-olds","2023-04-03",48,"4 years, 0 months","m",1,"adc3","ok","ok","no"
"28","test","nogo_right.jpg","nogo","right",3042331,NA,1,1,"ix",-1,3042331,3042301,"child","4-year-olds","2023-04-03",48,"4 years, 0 months","m",1,"adc3","ok","ok","no"
"29","test","nogo_left.jpg","nogo","left",3042331,NA,1,0,"xx",-1,3042331,3042301,"child","4-year-olds","2023-04-03",48,"4 years, 0 months","m",1,"adc3","ok","ok","no"
"30","test","con_right.jpg","congruent","right",3042331,"right",1,1,"xc",1.915,3042331,3042301,"child","4-year-olds","2023-04-03",48,"4 years, 0 months","m",1,"adc3","ok","ok","no"
"31","test","con_left.jpg","congruent","left",3042331,"left",1,0,"cc",1.662,3042331,3042301,"child","4-year-olds","2023-04-03",48,"4 years, 0 months","m",1,"adc3","ok","ok","no"
"32","test","nogo_left.jpg","nogo","left",3042331,NA,1,1,"cx",-1,3042331,3042301,"child","4-year-olds","2023-04-03",48,"4 years, 0 months","m",1,"adc3","ok","ok","no"
"33","test","nogo_right.jpg","nogo","right",3042331,NA,1,0,"xx",-1,3042331,3042301,"child","4-year-olds","2023-04-03",48,"4 years, 0 months","m",1,"adc3","ok","ok","no"
"34","test","in_left.jpg","incongruent","left",3042331,"right",0,1,"xi",2.429,3042331,3042301,"child","4-year-olds","2023-04-03",48,"4 years, 0 months","m",1,"adc3","ok","ok","no"
"35","test","in_left.jpg","incongruent","left",3042331,"right",0,0,"ii",3.464,3042331,3042301,"child","4-year-olds","2023-04-03",48,"4 years, 0 months","m",1,"adc3","ok","ok","no"
