block,image,condition,direction,subject,response,correct,switch,switchType,rt
practice,left_fish.jpg,null,left,30032381,left,1,NA,NA,3.155
practice,right_fish.jpg,null,right,30032381,right,1,NA,NA,3.749
practice,bowl.jpg,null,,30032381,NA,0,NA,NA,-1
practice,right_fish.jpg,null,right,30032381,right,1,NA,NA,1.642
practice,bowl.jpg,null,,30032381,NA,0,NA,NA,-1
practice,left_fish.jpg,null,left,30032381,left,1,NA,NA,2.214
practice,con_left_practice.jpg,congruent,left,30032381,NA,0,NA,NA,-1
practice,in_left_practice.jpg,incongruent,left,30032381,left,1,1,ci,3.715
practice,con_right_practice.jpg,congruent,right,30032381,right,1,1,ic,1.865
practice,nogo_right_practice.jpg,nogo,right,30032381,NA,1,1,cx,-1
practice,in_right_practice.jpg,incongruent,right,30032381,right,1,1,xi,2.692
practice,nogo_left_practice.jpg,nogo,left,30032381,NA,1,1,ix,-1
test,con_left.jpg,congruent,left,30032381,NA,0,NA,NA,-1
test,nogo_right.jpg,nogo,right,30032381,NA,1,1,cx,-1
test,nogo_left.jpg,nogo,left,30032381,NA,1,0,xx,-1
test,in_right.jpg,incongruent,right,30032381,right,1,1,xi,2.576
test,in_right.jpg,incongruent,right,30032381,right,1,0,ii,2.332
test,nogo_left.jpg,nogo,left,30032381,NA,1,1,ix,-1
test,nogo_right.jpg,nogo,right,30032381,NA,1,0,xx,-1
test,in_right.jpg,incongruent,right,30032381,right,1,1,xi,1.714
test,in_left.jpg,incongruent,left,30032381,left,1,0,ii,2.610
test,nogo_right.jpg,nogo,right,30032381,NA,1,1,ix,-1
test,nogo_right.jpg,nogo,right,30032381,NA,1,0,xx,-1
test,con_right.jpg,congruent,right,30032381,right,1,1,xc,2.411
test,con_right.jpg,congruent,right,30032381,right,1,0,cc,2.014
test,in_left.jpg,incongruent,left,30032381,left,1,1,ci,3.481
test,in_left.jpg,incongruent,left,30032381,left,1,0,ii,3.046
test,con_left.jpg,congruent,left,30032381,left,1,1,ic,3.184
test,con_left.jpg,congruent,left,30032381,left,1,0,cc,2.299
test,in_left.jpg,incongruent,left,30032381,left,1,1,ci,2.319
test,in_right.jpg,incongruent,right,30032381,right,1,0,ii,3.101
test,con_right.jpg,congruent,right,30032381,right,1,1,ic,1.914
test,con_right.jpg,congruent,right,30032381,right,1,0,cc,1.981
test,in_right.jpg,incongruent,right,30032381,right,1,1,ci,1.664
test,in_left.jpg,incongruent,left,30032381,right,0,0,ii,1.396
test,nogo_right.jpg,nogo,right,30032381,NA,1,1,ix,-1
test,nogo_right.jpg,nogo,right,30032381,NA,1,0,xx,-1
test,in_right.jpg,incongruent,right,30032381,right,1,1,xi,2.115
test,in_left.jpg,incongruent,left,30032381,NA,0,0,ii,-1
test,con_left.jpg,congruent,left,30032381,left,1,1,ic,2.080
test,con_right.jpg,congruent,right,30032381,NA,0,0,cc,-1
test,nogo_left.jpg,nogo,left,30032381,NA,1,1,cx,-1
test,nogo_left.jpg,nogo,left,30032381,NA,1,0,xx,-1
test,con_left.jpg,congruent,left,30032381,left,1,1,xc,2.081
test,con_right.jpg,congruent,right,30032381,right,1,0,cc,1.949
test,nogo_left.jpg,nogo,left,30032381,NA,1,1,cx,-1
test,nogo_left.jpg,nogo,left,30032381,NA,1,0,xx,-1
test,con_left.jpg,congruent,left,30032381,left,1,1,xc,2.685
