block,image,condition,direction,subject,response,correct,switch,switchType,rt
practice,left_fish.jpg,null,left,29032345,left,1,NA,NA,1.078
practice,right_fish.jpg,null,right,29032345,right,1,NA,NA,1.083
practice,bowl.jpg,null,,29032345,NA,0,NA,NA,-1
practice,right_fish.jpg,null,right,29032345,right,1,NA,NA,1.182
practice,bowl.jpg,null,,29032345,NA,0,NA,NA,-1
practice,left_fish.jpg,null,left,29032345,left,1,NA,NA,1.097
practice,con_left_practice.jpg,congruent,left,29032345,left,1,NA,NA,2.847
practice,in_left_practice.jpg,incongruent,left,29032345,left,1,1,ci,4.249
practice,con_right_practice.jpg,congruent,right,29032345,right,1,1,ic,2.245
practice,nogo_right_practice.jpg,nogo,right,29032345,NA,1,1,cx,-1
practice,in_right_practice.jpg,incongruent,right,29032345,NA,0,1,xi,-1
practice,nogo_left_practice.jpg,nogo,left,29032345,NA,1,1,ix,-1
test,con_left.jpg,congruent,left,29032345,left,1,NA,NA,1.562
test,con_left.jpg,congruent,left,29032345,left,1,0,cc,1.348
test,nogo_left.jpg,nogo,left,29032345,NA,1,1,cx,-1
test,nogo_right.jpg,nogo,right,29032345,NA,1,0,xx,-1
test,con_left.jpg,congruent,left,29032345,left,1,1,xc,1.249
test,con_right.jpg,congruent,right,29032345,right,1,0,cc,1.064
test,in_right.jpg,incongruent,right,29032345,left,0,1,ci,3.547
test,in_left.jpg,incongruent,left,29032345,right,0,0,ii,1.982
test,con_right.jpg,congruent,right,29032345,right,1,1,ic,2.167
test,con_right.jpg,congruent,right,29032345,right,1,0,cc,1.432
test,nogo_left.jpg,nogo,left,29032345,NA,1,1,cx,-1
test,nogo_right.jpg,nogo,right,29032345,NA,1,0,xx,-1
test,con_left.jpg,congruent,left,29032345,left,1,1,xc,1.699
test,in_right.jpg,incongruent,right,29032345,right,1,1,ci,2.015
test,in_left.jpg,incongruent,left,29032345,right,0,0,ii,2.015
test,nogo_left.jpg,nogo,left,29032345,NA,1,1,ix,-1
test,nogo_right.jpg,nogo,right,29032345,NA,1,0,xx,-1
test,in_left.jpg,incongruent,left,29032345,right,0,1,xi,2.181
test,in_right.jpg,incongruent,right,29032345,left,0,0,ii,3.182
test,nogo_right.jpg,nogo,right,29032345,NA,1,1,ix,-1
test,nogo_left.jpg,nogo,left,29032345,NA,1,0,xx,-1
test,in_right.jpg,incongruent,right,29032345,right,1,1,xi,1.665
test,in_right.jpg,incongruent,right,29032345,left,0,0,ii,3.882
test,con_right.jpg,congruent,right,29032345,right,1,1,ic,2.331
test,con_right.jpg,congruent,right,29032345,right,1,0,cc,1.514
test,in_left.jpg,incongruent,left,29032345,left,1,1,ci,2.599
test,in_left.jpg,incongruent,left,29032345,right,0,0,ii,1.865
test,nogo_right.jpg,nogo,right,29032345,NA,1,1,ix,-1
test,nogo_left.jpg,nogo,left,29032345,NA,1,0,xx,-1
test,con_right.jpg,congruent,right,29032345,right,1,1,xc,1.431
test,con_left.jpg,congruent,left,29032345,left,1,0,cc,2.532
test,nogo_left.jpg,nogo,left,29032345,NA,1,1,cx,-1
test,nogo_right.jpg,nogo,right,29032345,NA,1,0,xx,-1
test,in_right.jpg,incongruent,right,29032345,right,1,1,xi,2.581
test,in_left.jpg,incongruent,left,29032345,right,0,0,ii,4.481
test,con_left.jpg,congruent,left,29032345,left,1,1,ic,2.930
