block,image,condition,direction,subject,response,correct,switch,switchType,rt
practice,left_fish.jpg,null,left,29032343,left,1,NA,NA,2.011
practice,right_fish.jpg,null,right,29032343,right,1,NA,NA,1.066
practice,bowl.jpg,null,,29032343,NA,0,NA,NA,-1
practice,right_fish.jpg,null,right,29032343,right,1,NA,NA,1.116
practice,bowl.jpg,null,,29032343,NA,0,NA,NA,-1
practice,left_fish.jpg,null,left,29032343,left,1,NA,NA,0.964
practice,con_left_practice.jpg,congruent,left,29032343,left,1,NA,NA,1.597
practice,in_left_practice.jpg,incongruent,left,29032343,left,1,1,ci,2.931
practice,con_right_practice.jpg,congruent,right,29032343,right,1,1,ic,1.465
practice,nogo_right_practice.jpg,nogo,right,29032343,right,0,1,cx,1.665
practice,in_right_practice.jpg,incongruent,right,29032343,left,0,1,xi,4.397
practice,nogo_left_practice.jpg,nogo,left,29032343,NA,1,1,ix,-1
