block,image,condition,direction,subject,response,correct,switch,switchType,rt
practice,left_fish.jpg,null,left,310323813,left,1,NA,NA,1.895
practice,right_fish.jpg,null,right,310323813,right,1,NA,NA,1.799
practice,bowl.jpg,null,,310323813,NA,0,NA,NA,-1
practice,right_fish.jpg,null,right,310323813,right,1,NA,NA,2.452
practice,bowl.jpg,null,,310323813,NA,0,NA,NA,-1
practice,left_fish.jpg,null,left,310323813,left,1,NA,NA,2.140
practice,con_left_practice.jpg,congruent,left,310323813,NA,0,NA,NA,-1
practice,in_left_practice.jpg,incongruent,left,310323813,left,1,1,ci,4.289
practice,con_right_practice.jpg,congruent,right,310323813,right,1,1,ic,2.504
practice,nogo_right_practice.jpg,nogo,right,310323813,NA,1,1,cx,-1
practice,in_right_practice.jpg,incongruent,right,310323813,NA,0,1,xi,-1
practice,nogo_left_practice.jpg,nogo,left,310323813,left,0,1,ix,2.669
test,in_left.jpg,incongruent,left,310323813,left,1,NA,NA,3.237
test,in_left.jpg,incongruent,left,310323813,left,1,0,ii,4.957
test,con_right.jpg,congruent,right,310323813,right,1,1,ic,2.080
test,con_left.jpg,congruent,left,310323813,left,1,0,cc,1.910
test,in_right.jpg,incongruent,right,310323813,right,1,1,ci,1.675
test,in_left.jpg,incongruent,left,310323813,left,1,0,ii,2.240
test,con_left.jpg,congruent,left,310323813,left,1,1,ic,4.192
test,con_right.jpg,congruent,right,310323813,right,1,0,cc,1.895
test,in_right.jpg,incongruent,right,310323813,right,1,1,ci,2.457
test,nogo_left.jpg,nogo,left,310323813,NA,1,1,ix,-1
test,nogo_right.jpg,nogo,right,310323813,NA,1,0,xx,-1
test,con_right.jpg,congruent,right,310323813,right,1,1,xc,2.622
test,con_left.jpg,congruent,left,310323813,left,1,0,cc,1.861
test,nogo_left.jpg,nogo,left,310323813,NA,1,1,cx,-1
test,nogo_right.jpg,nogo,right,310323813,NA,1,0,xx,-1
test,in_right.jpg,incongruent,right,310323813,right,1,1,xi,3.211
test,in_right.jpg,incongruent,right,310323813,right,1,0,ii,3.324
test,nogo_left.jpg,nogo,left,310323813,NA,1,1,ix,-1
test,nogo_right.jpg,nogo,right,310323813,NA,1,0,xx,-1
test,in_right.jpg,incongruent,right,310323813,right,1,1,xi,3.607
test,in_left.jpg,incongruent,left,310323813,NA,0,0,ii,-1
test,con_right.jpg,congruent,right,310323813,right,1,1,ic,2.976
test,con_right.jpg,congruent,right,310323813,right,1,0,cc,4.742
test,nogo_right.jpg,nogo,right,310323813,NA,1,1,cx,-1
test,nogo_left.jpg,nogo,left,310323813,NA,1,0,xx,-1
test,con_left.jpg,congruent,left,310323813,left,1,1,xc,4.009
test,con_left.jpg,congruent,left,310323813,left,1,0,cc,3.506
test,nogo_left.jpg,nogo,left,310323813,NA,1,1,cx,-1
test,nogo_right.jpg,nogo,right,310323813,NA,1,0,xx,-1
test,in_right.jpg,incongruent,right,310323813,right,1,1,xi,2.593
test,in_left.jpg,incongruent,left,310323813,NA,0,0,ii,-1
test,nogo_right.jpg,nogo,right,310323813,NA,1,1,ix,-1
test,nogo_left.jpg,nogo,left,310323813,NA,1,0,xx,-1
test,con_left.jpg,congruent,left,310323813,left,1,1,xc,2.757
test,con_right.jpg,congruent,right,310323813,right,1,0,cc,3.029
test,in_left.jpg,incongruent,left,310323813,left,1,1,ci,2.123
