block,image,condition,direction,subject,response,correct,switch,switchType,rt
practice,left_fish.jpg,null,left,30032353,left,1,NA,NA,3.415
practice,right_fish.jpg,null,right,30032353,right,1,NA,NA,1.548
practice,bowl.jpg,null,,30032353,NA,0,NA,NA,-1
practice,right_fish.jpg,null,right,30032353,right,1,NA,NA,1.596
practice,bowl.jpg,null,,30032353,NA,0,NA,NA,-1
practice,left_fish.jpg,null,left,30032353,left,1,NA,NA,1.398
practice,con_left_practice.jpg,congruent,left,30032353,left,1,NA,NA,2.981
practice,in_left_practice.jpg,incongruent,left,30032353,left,1,1,ci,3.397
practice,con_right_practice.jpg,congruent,right,30032353,right,1,1,ic,1.463
practice,nogo_right_practice.jpg,nogo,right,30032353,NA,1,1,cx,-1
practice,in_right_practice.jpg,incongruent,right,30032353,right,1,1,xi,2.380
practice,nogo_left_practice.jpg,nogo,left,30032353,NA,1,1,ix,-1
test,nogo_right.jpg,nogo,right,30032353,NA,1,NA,NA,-1
test,nogo_left.jpg,nogo,left,30032353,NA,1,0,xx,-1
test,in_left.jpg,incongruent,left,30032353,left,1,1,xi,2.033
test,in_right.jpg,incongruent,right,30032353,right,1,0,ii,1.830
test,nogo_left.jpg,nogo,left,30032353,NA,1,1,ix,-1
test,con_right.jpg,congruent,right,30032353,right,1,1,xc,1.783
test,con_left.jpg,congruent,left,30032353,left,1,0,cc,1.932
test,in_left.jpg,incongruent,left,30032353,left,1,1,ci,2.395
test,in_right.jpg,incongruent,right,30032353,right,1,0,ii,1.679
test,con_left.jpg,congruent,left,30032353,left,1,1,ic,1.514
test,con_right.jpg,congruent,right,30032353,right,1,0,cc,1.831
test,nogo_left.jpg,nogo,left,30032353,left,0,1,cx,2.231
test,nogo_right.jpg,nogo,right,30032353,NA,1,0,xx,-1
test,in_left.jpg,incongruent,left,30032353,left,1,1,xi,1.630
test,in_left.jpg,incongruent,left,30032353,left,1,0,ii,2.996
test,nogo_left.jpg,nogo,left,30032353,NA,1,1,ix,-1
test,nogo_left.jpg,nogo,left,30032353,NA,1,0,xx,-1
test,in_right.jpg,incongruent,right,30032353,right,1,1,xi,1.746
test,in_left.jpg,incongruent,left,30032353,left,1,0,ii,2.998
test,nogo_left.jpg,nogo,left,30032353,NA,1,1,ix,-1
test,nogo_right.jpg,nogo,right,30032353,NA,1,0,xx,-1
test,con_right.jpg,congruent,right,30032353,right,1,1,xc,1.829
test,con_right.jpg,congruent,right,30032353,right,1,0,cc,1.699
test,nogo_right.jpg,nogo,right,30032353,NA,1,1,cx,-1
test,nogo_right.jpg,nogo,right,30032353,NA,1,0,xx,-1
test,con_left.jpg,congruent,left,30032353,left,1,1,xc,1.831
test,con_right.jpg,congruent,right,30032353,right,1,0,cc,1.462
test,in_right.jpg,incongruent,right,30032353,right,1,1,ci,2.149
test,in_right.jpg,incongruent,right,30032353,right,1,0,ii,1.831
test,con_right.jpg,congruent,right,30032353,right,1,1,ic,1.364
test,con_left.jpg,congruent,left,30032353,left,1,0,cc,1.466
test,in_right.jpg,incongruent,right,30032353,right,1,1,ci,2.014
test,in_left.jpg,incongruent,left,30032353,left,1,0,ii,1.665
test,con_left.jpg,congruent,left,30032353,left,1,1,ic,1.479
test,con_left.jpg,congruent,left,30032353,left,1,0,cc,1.583
test,nogo_right.jpg,nogo,right,30032353,NA,1,1,cx,-1
