block,image,condition,direction,subject,response,correct,switch,switchType,rt
practice,left_fish.jpg,null,left,30032386,NA,0,NA,NA,-1
practice,right_fish.jpg,null,right,30032386,right,1,NA,NA,2.832
practice,bowl.jpg,null,,30032386,NA,0,NA,NA,-1
practice,right_fish.jpg,null,right,30032386,right,1,NA,NA,2.465
practice,bowl.jpg,null,,30032386,NA,0,NA,NA,-1
practice,left_fish.jpg,null,left,30032386,left,1,NA,NA,1.749
practice,con_left_practice.jpg,congruent,left,30032386,NA,0,NA,NA,-1
practice,in_left_practice.jpg,incongruent,left,30032386,right,0,1,ci,3.980
practice,con_right_practice.jpg,congruent,right,30032386,right,1,1,ic,2.849
practice,nogo_right_practice.jpg,nogo,right,30032386,NA,1,1,cx,-1
practice,in_right_practice.jpg,incongruent,right,30032386,left,0,1,xi,3.631
practice,nogo_left_practice.jpg,nogo,left,30032386,NA,1,1,ix,-1
