block,image,condition,direction,subject,response,correct,switch,switchType,rt
practice,left_fish.jpg,null,left,03042332,left,1,NA,NA,2.028
practice,right_fish.jpg,null,right,03042332,right,1,NA,NA,1.336
practice,bowl.jpg,null,,03042332,NA,0,NA,NA,-1
practice,right_fish.jpg,null,right,03042332,right,1,NA,NA,1.683
practice,bowl.jpg,null,,03042332,NA,0,NA,NA,-1
practice,left_fish.jpg,null,left,03042332,left,1,NA,NA,2.565
practice,con_left_practice.jpg,congruent,left,03042332,left,1,NA,NA,3.863
practice,in_left_practice.jpg,incongruent,left,03042332,NA,0,1,ci,-1
practice,con_right_practice.jpg,congruent,right,03042332,NA,0,1,ic,-1
practice,nogo_right_practice.jpg,nogo,right,03042332,NA,1,1,cx,-1
practice,in_right_practice.jpg,incongruent,right,03042332,right,1,1,xi,3.914
practice,nogo_left_practice.jpg,nogo,left,03042332,NA,1,1,ix,-1
test,in_left.jpg,incongruent,left,03042332,left,1,NA,NA,4.594
test,in_left.jpg,incongruent,left,03042332,right,0,0,ii,2.519
test,con_left.jpg,congruent,left,03042332,left,1,1,ic,2.215
test,con_right.jpg,congruent,right,03042332,right,1,0,cc,1.814
test,nogo_left.jpg,nogo,left,03042332,NA,1,1,cx,-1
test,nogo_right.jpg,nogo,right,03042332,NA,1,0,xx,-1
test,in_right.jpg,incongruent,right,03042332,right,1,1,xi,2.746
test,nogo_left.jpg,nogo,left,03042332,NA,1,1,ix,-1
test,nogo_right.jpg,nogo,right,03042332,NA,1,0,xx,-1
test,con_right.jpg,congruent,right,03042332,right,1,1,xc,1.663
test,con_right.jpg,congruent,right,03042332,right,1,0,cc,2.647
test,in_right.jpg,incongruent,right,03042332,left,0,1,ci,2.178
test,in_left.jpg,incongruent,left,03042332,right,0,0,ii,1.514
test,con_left.jpg,congruent,left,03042332,right,0,1,ic,1.248
test,con_left.jpg,congruent,left,03042332,left,1,0,cc,1.831
test,in_left.jpg,incongruent,left,03042332,right,0,1,ci,2.681
test,in_right.jpg,incongruent,right,03042332,left,0,0,ii,1.481
test,nogo_left.jpg,nogo,left,03042332,NA,1,1,ix,-1
test,nogo_right.jpg,nogo,right,03042332,right,0,0,xx,1.664
test,con_right.jpg,congruent,right,03042332,right,1,1,xc,2.582
test,con_left.jpg,congruent,left,03042332,left,1,0,cc,1.998
test,nogo_right.jpg,nogo,right,03042332,right,0,1,cx,2.100
test,nogo_left.jpg,nogo,left,03042332,left,0,0,xx,1.501
test,in_right.jpg,incongruent,right,03042332,right,1,1,xi,1.749
test,in_left.jpg,incongruent,left,03042332,left,1,0,ii,1.465
test,con_left.jpg,congruent,left,03042332,left,1,1,ic,1.614
test,con_left.jpg,congruent,left,03042332,right,0,0,cc,1.567
test,nogo_left.jpg,nogo,left,03042332,left,0,1,cx,1.814
test,nogo_right.jpg,nogo,right,03042332,right,0,0,xx,3.031
test,con_right.jpg,congruent,right,03042332,left,0,1,xc,3.914
test,con_right.jpg,congruent,right,03042332,NA,0,0,cc,-1
test,in_right.jpg,incongruent,right,03042332,left,0,1,ci,1.530
test,in_right.jpg,incongruent,right,03042332,left,0,0,ii,1.348
test,nogo_left.jpg,nogo,left,03042332,left,0,1,ix,1.015
test,nogo_right.jpg,nogo,right,03042332,left,0,0,xx,0.699
test,in_left.jpg,incongruent,left,03042332,right,0,1,xi,0.765
