block,image,condition,direction,subject,response,correct,switch,switchType,rt
practice,left_fish.jpg,null,left,30032383,left,1,NA,NA,2.270
practice,right_fish.jpg,null,right,30032383,right,1,NA,NA,1.316
practice,bowl.jpg,null,,30032383,NA,0,NA,NA,-1
practice,right_fish.jpg,null,right,30032383,right,1,NA,NA,0.999
practice,bowl.jpg,null,,30032383,NA,0,NA,NA,-1
practice,left_fish.jpg,null,left,30032383,left,1,NA,NA,1.080
practice,con_left_practice.jpg,congruent,left,30032383,left,1,NA,NA,1.813
practice,in_left_practice.jpg,incongruent,left,30032383,left,1,1,ci,1.848
practice,con_right_practice.jpg,congruent,right,30032383,right,1,1,ic,1.398
practice,nogo_right_practice.jpg,nogo,right,30032383,NA,1,1,cx,-1
practice,in_right_practice.jpg,incongruent,right,30032383,right,1,1,xi,1.497
practice,nogo_left_practice.jpg,nogo,left,30032383,NA,1,1,ix,-1
test,in_left.jpg,incongruent,left,30032383,left,1,NA,NA,1.943
test,in_left.jpg,incongruent,left,30032383,left,1,0,ii,1.697
test,con_right.jpg,congruent,right,30032383,right,1,1,ic,1.564
test,con_left.jpg,congruent,left,30032383,left,1,0,cc,1.347
test,nogo_right.jpg,nogo,right,30032383,NA,1,1,cx,-1
test,nogo_left.jpg,nogo,left,30032383,NA,1,0,xx,-1
test,in_right.jpg,incongruent,right,30032383,right,1,1,xi,2.281
test,in_right.jpg,incongruent,right,30032383,right,1,0,ii,1.981
test,nogo_right.jpg,nogo,right,30032383,NA,1,1,ix,-1
test,nogo_left.jpg,nogo,left,30032383,NA,1,0,xx,-1
test,con_right.jpg,congruent,right,30032383,right,1,1,xc,2.215
test,con_left.jpg,congruent,left,30032383,left,1,0,cc,2.131
test,in_left.jpg,incongruent,left,30032383,NA,0,1,ci,-1
test,in_right.jpg,incongruent,right,30032383,right,1,0,ii,2.113
test,con_right.jpg,congruent,right,30032383,right,1,1,ic,1.632
test,con_left.jpg,congruent,left,30032383,left,1,0,cc,1.415
test,in_right.jpg,incongruent,right,30032383,right,1,1,ci,1.066
test,nogo_left.jpg,nogo,left,30032383,NA,1,1,ix,-1
test,nogo_left.jpg,nogo,left,30032383,NA,1,0,xx,-1
test,in_left.jpg,incongruent,left,30032383,left,1,1,xi,1.864
test,in_left.jpg,incongruent,left,30032383,left,1,0,ii,3.098
test,con_right.jpg,congruent,right,30032383,right,1,1,ic,2.880
test,con_left.jpg,congruent,left,30032383,left,1,0,cc,2.298
test,nogo_right.jpg,nogo,right,30032383,NA,1,1,cx,-1
test,nogo_left.jpg,nogo,left,30032383,NA,1,0,xx,-1
test,con_left.jpg,congruent,left,30032383,left,1,1,xc,1.564
test,con_right.jpg,congruent,right,30032383,right,1,0,cc,1.081
test,nogo_right.jpg,nogo,right,30032383,NA,1,1,cx,-1
test,nogo_right.jpg,nogo,right,30032383,NA,1,0,xx,-1
test,con_left.jpg,congruent,left,30032383,left,1,1,xc,1.164
test,con_right.jpg,congruent,right,30032383,right,1,0,cc,1.180
test,in_right.jpg,incongruent,right,30032383,right,1,1,ci,1.900
test,in_left.jpg,incongruent,left,30032383,left,1,0,ii,1.764
test,nogo_left.jpg,nogo,left,30032383,NA,1,1,ix,-1
test,nogo_right.jpg,nogo,right,30032383,NA,1,0,xx,-1
test,in_right.jpg,incongruent,right,30032383,NA,0,1,xi,-1
