block,image,condition,direction,subject,response,correct,switch,switchType,rt
practice,left_fish.jpg,null,left,07022361,left,1,NA,NA,1.081
practice,right_fish.jpg,null,right,07022361,right,1,NA,NA,0.911
practice,bowl.jpg,null,,07022361,NA,0,NA,NA,-1
practice,right_fish.jpg,null,right,07022361,right,1,NA,NA,1.066
practice,bowl.jpg,null,,07022361,NA,0,NA,NA,-1
practice,left_fish.jpg,null,left,07022361,left,1,NA,NA,0.945
practice,con_left_practice.jpg,congruent,left,07022361,left,1,NA,NA,2.405
practice,in_left_practice.jpg,incongruent,left,07022361,left,1,1,ci,2.329
practice,con_right_practice.jpg,congruent,right,07022361,right,1,1,ic,1.361
practice,nogo_right_practice.jpg,nogo,right,07022361,right,0,1,cx,0.956
practice,in_right_practice.jpg,incongruent,right,07022361,right,1,1,xi,3.579
practice,nogo_left_practice.jpg,nogo,left,07022361,NA,1,1,ix,-1
test,nogo_right.jpg,nogo,right,07022361,NA,1,NA,NA,-1
test,nogo_right.jpg,nogo,right,07022361,NA,1,0,xx,-1
test,in_right.jpg,incongruent,right,07022361,right,1,1,xi,1.957
test,in_right.jpg,incongruent,right,07022361,right,1,0,ii,1.517
test,con_left.jpg,congruent,left,07022361,left,1,1,ic,1.533
test,con_left.jpg,congruent,left,07022361,left,1,0,cc,1.202
test,nogo_left.jpg,nogo,left,07022361,NA,1,1,cx,-1
test,nogo_left.jpg,nogo,left,07022361,NA,1,0,xx,-1
test,con_left.jpg,congruent,left,07022361,left,1,1,xc,1.530
test,con_right.jpg,congruent,right,07022361,right,1,0,cc,1.146
test,in_left.jpg,incongruent,left,07022361,left,1,1,ci,1.433
test,in_left.jpg,incongruent,left,07022361,left,1,0,ii,1.414
test,nogo_right.jpg,nogo,right,07022361,NA,1,1,ix,-1
test,nogo_left.jpg,nogo,left,07022361,NA,1,0,xx,-1
test,con_right.jpg,congruent,right,07022361,right,1,1,xc,1.148
test,con_right.jpg,congruent,right,07022361,right,1,0,cc,1.232
test,in_left.jpg,incongruent,left,07022361,left,1,1,ci,1.330
test,in_right.jpg,incongruent,right,07022361,right,1,0,ii,2.015
test,con_left.jpg,congruent,left,07022361,left,1,1,ic,1.647
test,con_right.jpg,congruent,right,07022361,right,1,0,cc,1.148
test,in_right.jpg,incongruent,right,07022361,right,1,1,ci,1.414
test,in_right.jpg,incongruent,right,07022361,right,1,0,ii,1.111
test,nogo_right.jpg,nogo,right,07022361,NA,1,1,ix,-1
test,nogo_left.jpg,nogo,left,07022361,NA,1,0,xx,-1
test,con_right.jpg,congruent,right,07022361,right,1,1,xc,1.029
test,con_left.jpg,congruent,left,07022361,left,1,0,cc,1.031
test,nogo_right.jpg,nogo,right,07022361,NA,1,1,cx,-1
test,in_right.jpg,incongruent,right,07022361,right,1,1,xi,1.295
test,in_left.jpg,incongruent,left,07022361,left,1,0,ii,1.080
test,nogo_left.jpg,nogo,left,07022361,NA,1,1,ix,-1
test,nogo_left.jpg,nogo,left,07022361,NA,1,0,xx,-1
test,in_left.jpg,incongruent,left,07022361,left,1,1,xi,2.128
test,in_left.jpg,incongruent,left,07022361,left,1,0,ii,1.115
test,con_left.jpg,congruent,left,07022361,left,1,1,ic,1.063
test,con_right.jpg,congruent,right,07022361,right,1,0,cc,1.297
test,nogo_right.jpg,nogo,right,07022361,NA,1,1,cx,-1
