block,image,condition,direction,subject,response,correct,switch,switchType,rt
practice,left_fish.jpg,null,left,30032358,left,1,NA,NA,1.586
practice,right_fish.jpg,null,right,30032358,right,1,NA,NA,1.132
practice,bowl.jpg,null,,30032358,NA,0,NA,NA,-1
practice,right_fish.jpg,null,right,30032358,right,1,NA,NA,1.148
practice,bowl.jpg,null,,30032358,NA,0,NA,NA,-1
practice,left_fish.jpg,null,left,30032358,left,1,NA,NA,1.048
practice,con_left_practice.jpg,congruent,left,30032358,left,1,NA,NA,2.662
practice,in_left_practice.jpg,incongruent,left,30032358,left,1,1,ci,2.582
practice,con_right_practice.jpg,congruent,right,30032358,right,1,1,ic,1.532
practice,nogo_right_practice.jpg,nogo,right,30032358,NA,1,1,cx,-1
practice,in_right_practice.jpg,incongruent,right,30032358,NA,0,1,xi,-1
practice,nogo_left_practice.jpg,nogo,left,30032358,NA,1,1,ix,-1
test,nogo_left.jpg,nogo,left,30032358,NA,1,NA,NA,-1
test,nogo_left.jpg,nogo,left,30032358,NA,1,0,xx,-1
test,con_left.jpg,congruent,left,30032358,left,1,1,xc,1.433
test,con_right.jpg,congruent,right,30032358,right,1,0,cc,1.346
test,in_right.jpg,incongruent,right,30032358,right,1,1,ci,2.714
test,in_left.jpg,incongruent,left,30032358,left,1,0,ii,3.677
test,nogo_right.jpg,nogo,right,30032358,NA,1,1,ix,-1
test,nogo_right.jpg,nogo,right,30032358,NA,1,0,xx,-1
test,con_left.jpg,congruent,left,30032358,left,1,1,xc,1.482
test,con_right.jpg,congruent,right,30032358,right,1,0,cc,1.264
test,in_left.jpg,incongruent,left,30032358,right,0,1,ci,3.866
test,in_right.jpg,incongruent,right,30032358,left,0,0,ii,3.030
test,con_left.jpg,congruent,left,30032358,left,1,1,ic,1.782
test,con_right.jpg,congruent,right,30032358,right,1,0,cc,1.298
test,nogo_right.jpg,nogo,right,30032358,NA,1,1,cx,-1
test,nogo_left.jpg,nogo,left,30032358,NA,1,0,xx,-1
test,in_left.jpg,incongruent,left,30032358,left,1,1,xi,2.818
test,in_left.jpg,incongruent,left,30032358,left,1,0,ii,2.415
test,nogo_right.jpg,nogo,right,30032358,NA,1,1,ix,-1
test,nogo_right.jpg,nogo,right,30032358,NA,1,0,xx,-1
test,in_left.jpg,incongruent,left,30032358,left,1,1,xi,3.330
test,in_right.jpg,incongruent,right,30032358,right,1,0,ii,2.866
test,con_left.jpg,congruent,left,30032358,left,1,1,ic,2.530
test,con_right.jpg,congruent,right,30032358,right,1,0,cc,1.233
test,nogo_left.jpg,nogo,left,30032358,NA,1,1,cx,-1
test,in_left.jpg,incongruent,left,30032358,left,1,1,xi,3.180
test,in_right.jpg,incongruent,right,30032358,right,1,0,ii,2.148
test,con_left.jpg,congruent,left,30032358,left,1,1,ic,1.531
test,con_right.jpg,congruent,right,30032358,right,1,0,cc,1.432
test,in_right.jpg,incongruent,right,30032358,right,1,1,ci,3.014
test,in_right.jpg,incongruent,right,30032358,right,1,0,ii,1.865
test,nogo_left.jpg,nogo,left,30032358,NA,1,1,ix,-1
test,nogo_left.jpg,nogo,left,30032358,NA,1,0,xx,-1
test,con_left.jpg,congruent,left,30032358,left,1,1,xc,2.996
test,con_right.jpg,congruent,right,30032358,right,1,0,cc,1.314
test,nogo_right.jpg,nogo,right,30032358,NA,1,1,cx,-1
