block,image,condition,direction,subject,response,correct,switch,switchType,rt
practice,left_fish.jpg,null,left,20032347,left,1,NA,NA,2.040
practice,right_fish.jpg,null,right,20032347,right,1,NA,NA,1.282
practice,bowl.jpg,null,,20032347,NA,0,NA,NA,-1
practice,right_fish.jpg,null,right,20032347,right,1,NA,NA,1.397
practice,bowl.jpg,null,,20032347,NA,0,NA,NA,-1
practice,left_fish.jpg,null,left,20032347,left,1,NA,NA,1.332
practice,con_left_practice.jpg,congruent,left,20032347,left,1,NA,NA,2.195
practice,in_left_practice.jpg,incongruent,left,20032347,NA,0,1,ci,-1
practice,con_right_practice.jpg,congruent,right,20032347,right,1,1,ic,2.352
practice,nogo_right_practice.jpg,nogo,right,20032347,NA,1,1,cx,-1
practice,in_right_practice.jpg,incongruent,right,20032347,NA,0,1,xi,-1
practice,nogo_left_practice.jpg,nogo,left,20032347,NA,1,1,ix,-1
test,con_left.jpg,congruent,left,20032347,left,1,NA,NA,1.894
test,con_right.jpg,congruent,right,20032347,right,1,0,cc,1.648
test,nogo_right.jpg,nogo,right,20032347,NA,1,1,cx,-1
test,nogo_right.jpg,nogo,right,20032347,NA,1,0,xx,-1
test,in_right.jpg,incongruent,right,20032347,NA,0,1,xi,-1
test,in_right.jpg,incongruent,right,20032347,NA,0,0,ii,-1
test,nogo_left.jpg,nogo,left,20032347,NA,1,1,ix,-1
test,nogo_right.jpg,nogo,right,20032347,NA,1,0,xx,-1
test,in_right.jpg,incongruent,right,20032347,NA,0,1,xi,-1
test,in_left.jpg,incongruent,left,20032347,NA,0,0,ii,-1
test,con_left.jpg,congruent,left,20032347,left,1,1,ic,1.815
test,con_right.jpg,congruent,right,20032347,right,1,0,cc,1.383
test,in_right.jpg,incongruent,right,20032347,NA,0,1,ci,-1
test,in_left.jpg,incongruent,left,20032347,NA,0,0,ii,-1
test,nogo_left.jpg,nogo,left,20032347,NA,1,1,ix,-1
test,nogo_right.jpg,nogo,right,20032347,NA,1,0,xx,-1
test,in_right.jpg,incongruent,right,20032347,NA,0,1,xi,-1
test,in_right.jpg,incongruent,right,20032347,NA,0,0,ii,-1
test,nogo_left.jpg,nogo,left,20032347,NA,1,1,ix,-1
test,nogo_left.jpg,nogo,left,20032347,NA,1,0,xx,-1
test,con_right.jpg,congruent,right,20032347,right,1,1,xc,1.797
test,nogo_left.jpg,nogo,left,20032347,NA,1,1,cx,-1
test,nogo_right.jpg,nogo,right,20032347,NA,1,0,xx,-1
test,con_right.jpg,congruent,right,20032347,right,1,1,xc,1.480
test,con_left.jpg,congruent,left,20032347,left,1,0,cc,1.478
test,nogo_left.jpg,nogo,left,20032347,NA,1,1,cx,-1
test,nogo_right.jpg,nogo,right,20032347,NA,1,0,xx,-1
test,con_left.jpg,congruent,left,20032347,left,1,1,xc,1.398
test,con_left.jpg,congruent,left,20032347,left,1,0,cc,1.514
test,in_left.jpg,incongruent,left,20032347,NA,0,1,ci,-1
test,in_left.jpg,incongruent,left,20032347,NA,0,0,ii,-1
test,con_right.jpg,congruent,right,20032347,right,1,1,ic,1.546
test,con_left.jpg,congruent,left,20032347,left,1,0,cc,1.598
test,in_left.jpg,incongruent,left,20032347,NA,0,1,ci,-1
test,in_left.jpg,incongruent,left,20032347,NA,0,0,ii,-1
test,con_right.jpg,congruent,right,20032347,right,1,1,ic,1.296
