block,image,condition,direction,subject,response,correct,switch,switchType,rt
practice,left_fish.jpg,null,left,29032348,left,1,NA,NA,2.531
practice,right_fish.jpg,null,right,29032348,right,1,NA,NA,1.299
practice,bowl.jpg,null,,29032348,NA,0,NA,NA,-1
practice,right_fish.jpg,null,right,29032348,right,1,NA,NA,1.948
practice,bowl.jpg,null,,29032348,NA,0,NA,NA,-1
practice,left_fish.jpg,null,left,29032348,left,1,NA,NA,1.115
practice,con_left_practice.jpg,congruent,left,29032348,left,1,NA,NA,2.247
practice,in_left_practice.jpg,incongruent,left,29032348,left,1,1,ci,3.915
practice,con_right_practice.jpg,congruent,right,29032348,right,1,1,ic,1.197
practice,nogo_right_practice.jpg,nogo,right,29032348,right,0,1,cx,1.299
practice,in_right_practice.jpg,incongruent,right,29032348,right,1,1,xi,4.349
practice,nogo_left_practice.jpg,nogo,left,29032348,NA,1,1,ix,-1
