block,image,condition,direction,subject,response,correct,switch,switchType,rt
practice,left_fish.jpg,null,left,07042389,left,1,NA,NA,3.336
practice,right_fish.jpg,null,right,07042389,right,1,NA,NA,1.227
practice,bowl.jpg,null,,07042389,NA,0,NA,NA,-1
practice,right_fish.jpg,null,right,07042389,right,1,NA,NA,1.198
practice,bowl.jpg,null,,07042389,NA,0,NA,NA,-1
practice,left_fish.jpg,null,left,07042389,left,1,NA,NA,1.098
practice,con_left_practice.jpg,congruent,left,07042389,left,1,NA,NA,2.479
practice,in_left_practice.jpg,incongruent,left,07042389,left,1,1,ci,2.111
practice,con_right_practice.jpg,congruent,right,07042389,right,1,1,ic,1.129
practice,nogo_right_practice.jpg,nogo,right,07042389,NA,1,1,cx,-1
practice,in_right_practice.jpg,incongruent,right,07042389,right,1,1,xi,1.560
practice,nogo_left_practice.jpg,nogo,left,07042389,NA,1,1,ix,-1
test,con_right.jpg,congruent,right,07042389,right,1,NA,NA,1.618
test,con_right.jpg,congruent,right,07042389,right,1,0,cc,1.835
test,nogo_right.jpg,nogo,right,07042389,NA,1,1,cx,-1
test,nogo_left.jpg,nogo,left,07042389,NA,1,0,xx,-1
test,con_right.jpg,congruent,right,07042389,right,1,1,xc,1.210
test,in_left.jpg,incongruent,left,07042389,left,1,1,ci,1.528
test,in_left.jpg,incongruent,left,07042389,left,1,0,ii,1.511
test,con_left.jpg,congruent,left,07042389,left,1,1,ic,1.361
test,con_left.jpg,congruent,left,07042389,left,1,0,cc,1.415
test,in_right.jpg,incongruent,right,07042389,right,1,1,ci,1.527
test,in_left.jpg,incongruent,left,07042389,left,1,0,ii,1.647
test,nogo_right.jpg,nogo,right,07042389,NA,1,1,ix,-1
test,nogo_right.jpg,nogo,right,07042389,NA,1,0,xx,-1
test,con_right.jpg,congruent,right,07042389,right,1,1,xc,1.548
test,con_right.jpg,congruent,right,07042389,right,1,0,cc,1.447
test,nogo_right.jpg,nogo,right,07042389,NA,1,1,cx,-1
test,nogo_right.jpg,nogo,right,07042389,NA,1,0,xx,-1
test,in_left.jpg,incongruent,left,07042389,left,1,1,xi,2.215
test,in_left.jpg,incongruent,left,07042389,left,1,0,ii,1.332
test,con_left.jpg,congruent,left,07042389,left,1,1,ic,1.363
test,con_left.jpg,congruent,left,07042389,left,1,0,cc,1.130
test,in_right.jpg,incongruent,right,07042389,right,1,1,ci,1.318
test,in_right.jpg,incongruent,right,07042389,right,1,0,ii,1.197
test,nogo_right.jpg,nogo,right,07042389,NA,1,1,ix,-1
test,nogo_left.jpg,nogo,left,07042389,NA,1,0,xx,-1
test,in_left.jpg,incongruent,left,07042389,left,1,1,xi,1.364
test,in_right.jpg,incongruent,right,07042389,right,1,0,ii,1.016
test,nogo_left.jpg,nogo,left,07042389,NA,1,1,ix,-1
test,nogo_left.jpg,nogo,left,07042389,NA,1,0,xx,-1
test,in_right.jpg,incongruent,right,07042389,right,1,1,xi,1.183
test,in_right.jpg,incongruent,right,07042389,right,1,0,ii,1.448
test,con_right.jpg,congruent,right,07042389,right,1,1,ic,1.096
test,con_left.jpg,congruent,left,07042389,left,1,0,cc,1.281
test,nogo_left.jpg,nogo,left,07042389,NA,1,1,cx,-1
test,nogo_left.jpg,nogo,left,07042389,NA,1,0,xx,-1
test,con_left.jpg,congruent,left,07042389,left,1,1,xc,1.215
