block,image,condition,direction,subject,response,correct,switch,switchType,rt
practice,left_fish.jpg,null,left,07042387,left,1,NA,NA,1.311
practice,right_fish.jpg,null,right,07042387,right,1,NA,NA,1.031
practice,bowl.jpg,null,,07042387,NA,0,NA,NA,-1
practice,right_fish.jpg,null,right,07042387,right,1,NA,NA,1.365
practice,bowl.jpg,null,,07042387,NA,0,NA,NA,-1
practice,left_fish.jpg,null,left,07042387,left,1,NA,NA,0.980
practice,con_left_practice.jpg,congruent,left,07042387,left,1,NA,NA,2.879
practice,in_left_practice.jpg,incongruent,left,07042387,left,1,1,ci,1.948
practice,con_right_practice.jpg,congruent,right,07042387,right,1,1,ic,1.182
practice,nogo_right_practice.jpg,nogo,right,07042387,NA,1,1,cx,-1
practice,in_right_practice.jpg,incongruent,right,07042387,right,1,1,xi,2.063
practice,nogo_left_practice.jpg,nogo,left,07042387,NA,1,1,ix,-1
