block,image,condition,direction,subject,response,correct,switch,switchType,rt
practice,left_fish.jpg,null,left,20032346,left,1,NA,NA,1.811
practice,right_fish.jpg,null,right,20032346,right,1,NA,NA,1.068
practice,bowl.jpg,null,,20032346,NA,0,NA,NA,-1
practice,right_fish.jpg,null,right,20032346,right,1,NA,NA,1.331
practice,bowl.jpg,null,,20032346,NA,0,NA,NA,-1
practice,left_fish.jpg,null,left,20032346,left,1,NA,NA,0.967
practice,con_left_practice.jpg,congruent,left,20032346,left,1,NA,NA,2.929
practice,in_left_practice.jpg,incongruent,left,20032346,NA,0,1,ci,-1
practice,con_right_practice.jpg,congruent,right,20032346,right,1,1,ic,1.663
practice,nogo_right_practice.jpg,nogo,right,20032346,NA,1,1,cx,-1
practice,in_right_practice.jpg,incongruent,right,20032346,NA,0,1,xi,-1
practice,nogo_left_practice.jpg,nogo,left,20032346,NA,1,1,ix,-1
test,nogo_left.jpg,nogo,left,20032346,NA,1,NA,NA,-1
test,nogo_left.jpg,nogo,left,20032346,NA,1,0,xx,-1
test,in_right.jpg,incongruent,right,20032346,right,1,1,xi,3.533
test,in_left.jpg,incongruent,left,20032346,left,1,0,ii,2.297
test,nogo_right.jpg,nogo,right,20032346,NA,1,1,ix,-1
test,nogo_right.jpg,nogo,right,20032346,NA,1,0,xx,-1
test,in_left.jpg,incongruent,left,20032346,right,0,1,xi,1.681
test,in_left.jpg,incongruent,left,20032346,left,1,0,ii,1.281
test,nogo_right.jpg,nogo,right,20032346,NA,1,1,ix,-1
test,nogo_left.jpg,nogo,left,20032346,NA,1,0,xx,-1
test,in_right.jpg,incongruent,right,20032346,right,1,1,xi,1.530
test,in_right.jpg,incongruent,right,20032346,left,0,0,ii,1.082
test,con_right.jpg,congruent,right,20032346,right,1,1,ic,2.067
test,con_right.jpg,congruent,right,20032346,right,1,0,cc,1.832
test,in_right.jpg,incongruent,right,20032346,left,0,1,ci,1.814
test,in_right.jpg,incongruent,right,20032346,right,1,0,ii,2.098
test,con_left.jpg,congruent,left,20032346,left,1,1,ic,2.015
test,con_right.jpg,congruent,right,20032346,right,1,0,cc,1.331
test,nogo_left.jpg,nogo,left,20032346,NA,1,1,cx,-1
test,nogo_right.jpg,nogo,right,20032346,NA,1,0,xx,-1
test,con_left.jpg,congruent,left,20032346,left,1,1,xc,1.382
test,con_left.jpg,congruent,left,20032346,left,1,0,cc,1.530
test,nogo_left.jpg,nogo,left,20032346,NA,1,1,cx,-1
test,nogo_right.jpg,nogo,right,20032346,NA,1,0,xx,-1
test,con_right.jpg,congruent,right,20032346,right,1,1,xc,1.361
test,con_left.jpg,congruent,left,20032346,left,1,0,cc,1.863
test,in_left.jpg,incongruent,left,20032346,right,0,1,ci,1.798
test,in_left.jpg,incongruent,left,20032346,left,1,0,ii,2.014
test,con_right.jpg,congruent,right,20032346,right,1,1,ic,1.232
test,con_left.jpg,congruent,left,20032346,left,1,0,cc,1.364
test,nogo_left.jpg,nogo,left,20032346,NA,1,1,cx,-1
test,con_right.jpg,congruent,right,20032346,right,1,1,xc,1.197
test,con_left.jpg,congruent,left,20032346,left,1,0,cc,1.247
test,in_left.jpg,incongruent,left,20032346,right,0,1,ci,2.014
test,in_right.jpg,incongruent,right,20032346,left,0,0,ii,1.748
test,nogo_right.jpg,nogo,right,20032346,NA,1,1,ix,-1
