block,image,condition,direction,subject,response,correct,switch,switchType,rt
practice,left_fish.jpg,null,left,30032351,left,1,NA,NA,2.485
practice,right_fish.jpg,null,right,30032351,right,1,NA,NA,1.290
practice,bowl.jpg,null,,30032351,NA,0,NA,NA,-1
practice,right_fish.jpg,null,right,30032351,right,1,NA,NA,1.649
practice,bowl.jpg,null,,30032351,NA,0,NA,NA,-1
practice,left_fish.jpg,null,left,30032351,left,1,NA,NA,1.347
practice,con_left_practice.jpg,congruent,left,30032351,left,1,NA,NA,2.027
practice,in_left_practice.jpg,incongruent,left,30032351,left,1,1,ci,2.407
practice,con_right_practice.jpg,congruent,right,30032351,right,1,1,ic,1.010
practice,nogo_right_practice.jpg,nogo,right,30032351,right,0,1,cx,1.627
practice,in_right_practice.jpg,incongruent,right,30032351,right,1,1,xi,2.178
practice,nogo_left_practice.jpg,nogo,left,30032351,NA,1,1,ix,-1
test,nogo_left.jpg,nogo,left,30032351,NA,1,NA,NA,-1
test,nogo_left.jpg,nogo,left,30032351,NA,1,0,xx,-1
test,in_right.jpg,incongruent,right,30032351,right,1,1,xi,1.859
test,in_right.jpg,incongruent,right,30032351,right,1,0,ii,1.232
test,nogo_right.jpg,nogo,right,30032351,right,0,1,ix,0.858
test,nogo_left.jpg,nogo,left,30032351,NA,1,0,xx,-1
test,con_right.jpg,congruent,right,30032351,right,1,1,xc,1.174
test,con_right.jpg,congruent,right,30032351,right,1,0,cc,1.164
test,in_left.jpg,incongruent,left,30032351,left,1,1,ci,1.206
test,in_left.jpg,incongruent,left,30032351,left,1,0,ii,1.563
test,con_left.jpg,congruent,left,30032351,left,1,1,ic,1.128
test,con_left.jpg,congruent,left,30032351,left,1,0,cc,0.797
test,in_right.jpg,incongruent,right,30032351,right,1,1,ci,1.098
test,in_left.jpg,incongruent,left,30032351,left,1,0,ii,1.215
test,nogo_left.jpg,nogo,left,30032351,left,0,1,ix,1.048
test,in_left.jpg,incongruent,left,30032351,left,1,1,xi,2.211
test,in_right.jpg,incongruent,right,30032351,right,1,0,ii,1.147
test,con_left.jpg,congruent,left,30032351,left,1,1,ic,1.013
test,con_left.jpg,congruent,left,30032351,left,1,0,cc,1.065
test,nogo_right.jpg,nogo,right,30032351,NA,1,1,cx,-1
test,nogo_left.jpg,nogo,left,30032351,left,0,0,xx,1.149
test,in_left.jpg,incongruent,left,30032351,left,1,1,xi,1.863
test,in_left.jpg,incongruent,left,30032351,left,1,0,ii,0.995
test,nogo_right.jpg,nogo,right,30032351,NA,1,1,ix,-1
test,nogo_right.jpg,nogo,right,30032351,NA,1,0,xx,-1
test,con_right.jpg,congruent,right,30032351,right,1,1,xc,1.733
test,con_left.jpg,congruent,left,30032351,left,1,0,cc,3.130
test,in_right.jpg,incongruent,right,30032351,right,1,1,ci,1.430
test,in_right.jpg,incongruent,right,30032351,right,1,0,ii,1.248
test,con_left.jpg,congruent,left,30032351,left,1,1,ic,1.214
test,con_right.jpg,congruent,right,30032351,right,1,0,cc,0.828
test,nogo_right.jpg,nogo,right,30032351,NA,1,1,cx,-1
test,nogo_left.jpg,nogo,left,30032351,NA,1,0,xx,-1
test,con_right.jpg,congruent,right,30032351,right,1,1,xc,1.182
test,con_right.jpg,congruent,right,30032351,right,1,0,cc,1.052
test,nogo_right.jpg,nogo,right,30032351,NA,1,1,cx,-1
