block,image,condition,direction,subject,response,correct,switch,switchType,rt
practice,left_fish.jpg,null,left,03042333,NA,0,NA,NA,-1
practice,right_fish.jpg,null,right,03042333,right,1,NA,NA,3.398
practice,bowl.jpg,null,,03042333,NA,0,NA,NA,-1
practice,right_fish.jpg,null,right,03042333,right,1,NA,NA,3.181
practice,bowl.jpg,null,,03042333,NA,0,NA,NA,-1
practice,left_fish.jpg,null,left,03042333,left,1,NA,NA,3.198
practice,con_left_practice.jpg,congruent,left,03042333,NA,0,NA,NA,-1
practice,in_left_practice.jpg,incongruent,left,03042333,left,1,1,ci,3.052
practice,con_right_practice.jpg,congruent,right,03042333,right,1,1,ic,2.695
practice,nogo_right_practice.jpg,nogo,right,03042333,NA,1,1,cx,-1
practice,in_right_practice.jpg,incongruent,right,03042333,right,1,1,xi,3.499
practice,nogo_left_practice.jpg,nogo,left,03042333,NA,1,1,ix,-1
test,nogo_left.jpg,nogo,left,03042333,NA,1,NA,NA,-1
test,nogo_right.jpg,nogo,right,03042333,right,0,0,xx,2.513
test,in_left.jpg,incongruent,left,03042333,NA,0,1,xi,-1
test,in_right.jpg,incongruent,right,03042333,NA,0,0,ii,-1
test,con_left.jpg,congruent,left,03042333,left,1,1,ic,3.097
test,con_right.jpg,congruent,right,03042333,right,1,0,cc,2.714
test,in_left.jpg,incongruent,left,03042333,NA,0,1,ci,-1
test,in_right.jpg,incongruent,right,03042333,right,1,0,ii,4.481
test,con_left.jpg,congruent,left,03042333,left,1,1,ic,2.480
test,con_left.jpg,congruent,left,03042333,left,1,0,cc,2.682
test,in_right.jpg,incongruent,right,03042333,right,1,1,ci,3.979
test,in_left.jpg,incongruent,left,03042333,left,1,0,ii,2.648
test,con_left.jpg,congruent,left,03042333,left,1,1,ic,3.613
test,con_left.jpg,congruent,left,03042333,right,0,0,cc,2.313
test,in_right.jpg,incongruent,right,03042333,NA,0,1,ci,-1
test,in_left.jpg,incongruent,left,03042333,right,0,0,ii,2.730
test,nogo_right.jpg,nogo,right,03042333,NA,1,1,ix,-1
test,nogo_left.jpg,nogo,left,03042333,NA,1,0,xx,-1
test,in_right.jpg,incongruent,right,03042333,left,0,1,xi,3.772
test,in_left.jpg,incongruent,left,03042333,right,0,0,ii,3.562
test,nogo_left.jpg,nogo,left,03042333,NA,1,1,ix,-1
test,nogo_right.jpg,nogo,right,03042333,NA,1,0,xx,-1
test,con_right.jpg,congruent,right,03042333,right,1,1,xc,2.761
test,con_right.jpg,congruent,right,03042333,NA,0,0,cc,-1
test,nogo_right.jpg,nogo,right,03042333,NA,1,1,cx,-1
test,nogo_left.jpg,nogo,left,03042333,NA,1,0,xx,-1
test,con_right.jpg,congruent,right,03042333,right,1,1,xc,2.713
test,con_right.jpg,congruent,right,03042333,NA,0,0,cc,-1
test,nogo_right.jpg,nogo,right,03042333,NA,1,1,cx,-1
test,in_left.jpg,incongruent,left,03042333,right,0,1,xi,3.682
test,in_right.jpg,incongruent,right,03042333,NA,0,0,ii,-1
test,nogo_right.jpg,nogo,right,03042333,NA,1,1,ix,-1
test,nogo_left.jpg,nogo,left,03042333,NA,1,0,xx,-1
test,con_right.jpg,congruent,right,03042333,right,1,1,xc,4.016
test,con_left.jpg,congruent,left,03042333,NA,0,0,cc,-1
test,nogo_left.jpg,nogo,left,03042333,NA,1,1,cx,-1
