block,image,condition,direction,subject,response,correct,switch,switchType,rt
practice,left_fish.jpg,null,left,2203237,left,1,NA,NA,1.320
practice,right_fish.jpg,null,right,2203237,right,1,NA,NA,1.186
practice,bowl.jpg,null,,2203237,NA,0,NA,NA,-1
practice,right_fish.jpg,null,right,2203237,right,1,NA,NA,1.235
practice,bowl.jpg,null,,2203237,NA,0,NA,NA,-1
practice,left_fish.jpg,null,left,2203237,left,1,NA,NA,1.168
practice,con_left_practice.jpg,congruent,left,2203237,left,1,NA,NA,1.521
practice,in_left_practice.jpg,incongruent,left,2203237,left,1,1,ci,2.018
practice,con_right_practice.jpg,congruent,right,2203237,right,1,1,ic,1.485
practice,nogo_right_practice.jpg,nogo,right,2203237,NA,1,1,cx,-1
practice,in_right_practice.jpg,incongruent,right,2203237,right,1,1,xi,3.001
practice,nogo_left_practice.jpg,nogo,left,2203237,NA,1,1,ix,-1
test,nogo_right.jpg,nogo,right,2203237,right,0,NA,NA,1.517
test,nogo_left.jpg,nogo,left,2203237,left,0,0,xx,1.069
test,con_right.jpg,congruent,right,2203237,right,1,1,xc,1.617
test,con_left.jpg,congruent,left,2203237,left,1,0,cc,1.952
test,in_right.jpg,incongruent,right,2203237,right,1,1,ci,1.534
test,in_right.jpg,incongruent,right,2203237,right,1,0,ii,3.000
test,con_right.jpg,congruent,right,2203237,left,0,1,ic,2.286
test,con_left.jpg,congruent,left,2203237,left,1,0,cc,2.552
test,nogo_right.jpg,nogo,right,2203237,NA,1,1,cx,-1
test,nogo_right.jpg,nogo,right,2203237,NA,1,0,xx,-1
test,in_right.jpg,incongruent,right,2203237,right,1,1,xi,1.902
test,in_right.jpg,incongruent,right,2203237,right,1,0,ii,1.868
test,con_right.jpg,congruent,right,2203237,right,1,1,ic,1.918
test,con_left.jpg,congruent,left,2203237,left,1,0,cc,2.401
test,in_left.jpg,incongruent,left,2203237,left,1,1,ci,4.534
test,in_left.jpg,incongruent,left,2203237,left,1,0,ii,3.652
test,nogo_right.jpg,nogo,right,2203237,NA,1,1,ix,-1
test,con_right.jpg,congruent,right,2203237,right,1,1,xc,2.734
test,con_right.jpg,congruent,right,2203237,right,1,0,cc,3.219
test,nogo_left.jpg,nogo,left,2203237,NA,1,1,cx,-1
test,nogo_left.jpg,nogo,left,2203237,NA,1,0,xx,-1
test,con_right.jpg,congruent,right,2203237,right,1,1,xc,3.836
test,con_left.jpg,congruent,left,2203237,left,1,0,cc,1.852
test,in_left.jpg,incongruent,left,2203237,left,1,1,ci,4.052
test,in_right.jpg,incongruent,right,2203237,right,1,0,ii,1.668
test,con_left.jpg,congruent,left,2203237,left,1,1,ic,1.267
test,con_left.jpg,congruent,left,2203237,left,1,0,cc,1.302
test,nogo_left.jpg,nogo,left,2203237,NA,1,1,cx,-1
test,nogo_left.jpg,nogo,left,2203237,NA,1,0,xx,-1
test,in_left.jpg,incongruent,left,2203237,left,1,1,xi,3.416
test,in_right.jpg,incongruent,right,2203237,right,1,0,ii,1.769
test,nogo_left.jpg,nogo,left,2203237,NA,1,1,ix,-1
test,nogo_right.jpg,nogo,right,2203237,NA,1,0,xx,-1
test,in_left.jpg,incongruent,left,2203237,left,1,1,xi,3.684
test,in_left.jpg,incongruent,left,2203237,left,1,0,ii,1.286
test,nogo_right.jpg,nogo,right,2203237,NA,1,1,ix,-1
